id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","08474","74011702","202511160327","2568",7616,23741,1708,2244,1844,2237,2645,1659,1445,1509,2148,2611,1858,1833
"92a705c26f22754d7462e9f742436b6f","07181","62020701","202511162204","2568",2632,9769,552,927,818,755,828,682,619,587,1019,1600,880,502
"92a705c26f22754d7462e9f742436b6f","08800","80050201","202511152301","2568",2389,6870,602,1369,553,278,827,1243,219,376,407,471,305,220
"92a705c26f22754d7462e9f742436b6f","03127","32030312","202511161701","2568",2177,9662,308,717,454,1058,1258,396,328,1046,2276,978,421,429
"92a705c26f22754d7462e9f742436b6f","09830","93050412","202511160805","2568",2141,8317,596,1447,1066,564,590,449,511,473,938,768,429,486
"92a705c26f22754d7462e9f742436b6f","09008","81030108","202511162303","2568",3081,11200,607,590,1103,1924,1237,748,890,894,954,608,1046,599
"92a705c26f22754d7462e9f742436b6f","04698","42030601","202511160110","2568",1499,6774,939,402,952,465,638,541,442,393,431,486,439,647
"92a705c26f22754d7462e9f742436b6f","09608","91010502","202511170505","2568",7148,22772,2141,2625,1802,2569,2133,1562,1709,1193,1268,3295,1520,955
"92a705c26f22754d7462e9f742436b6f","09561","90110504","202511170434","2568",21698,43582,4537,5957,6488,5381,4750,2756,1848,2543,3040,2264,2350,1668
"92a705c26f22754d7462e9f742436b6f","02608","30070105","202511160227","2568",4425,11774,557,690,2730,850,2217,569,353,482,1033,699,705,889
"92a705c26f22754d7462e9f742436b6f","08794","80040508","202511152301","2568",3772,11077,480,585,1984,1462,794,996,906,581,1520,913,474,382
"92a705c26f22754d7462e9f742436b6f","14007","53080504","202511162251","2568",2240,7464,1587,530,656,681,517,250,556,282,993,625,485,302
"92a705c26f22754d7462e9f742436b6f","02660","30101102","202511160227","2568",4049,13420,968,951,626,1653,1378,584,785,1149,981,2922,787,848
"92a705c26f22754d7462e9f742436b6f","09211","84070607","202511170539","2568",1450,4267,266,219,210,353,457,417,546,339,172,591,356,341
"92a705c26f22754d7462e9f742436b6f","04585","41100403","202511162227","2568",5295,15556,1338,1455,3017,1648,1529,837,775,845,1233,1299,670,910
"92a705c26f22754d7462e9f742436b6f","09820","93040103","202511160805","2568",1556,6198,404,546,575,1044,512,861,356,377,468,521,305,229
"92a705c26f22754d7462e9f742436b6f","06760","57090606","202511161111","2568",296,539,38,117,99,44,35,20,30,100,41,15,0,0
"92a705c26f22754d7462e9f742436b6f","04699","42030706","202511160110","2568",3635,15685,838,1859,863,3337,3028,893,626,840,1128,874,793,660
"92a705c26f22754d7462e9f742436b6f","09979","94090903","202511162128","2568",6578,18041,1240,1370,1350,2087,2571,3078,1050,1047,1011,1409,843,1006
"92a705c26f22754d7462e9f742436b6f","09502","90060206","202511170434","2568",3817,11730,1335,1298,1497,1812,560,257,1395,546,1471,926,286,347
"92a705c26f22754d7462e9f742436b6f","02498","27051008","202511161938","2568",1980,8689,473,575,1693,813,808,380,471,739,744,951,516,526
"92a705c26f22754d7462e9f742436b6f","02968","31071313","202511152255","2568",3443,14782,824,1427,1741,1249,2092,862,661,754,1690,1637,1164,687
"92a705c26f22754d7462e9f742436b6f","05222","45101403","202511170333","2568",1272,6021,1129,762,540,620,243,331,358,279,282,758,375,344
"92a705c26f22754d7462e9f742436b6f","06592","56031201","202511162249","2568",2647,11316,561,1296,1017,3954,710,393,715,494,656,564,629,339
"92a705c26f22754d7462e9f742436b6f","09533","90090313","202511170434","2568",3418,18117,2451,1896,2287,1567,866,1968,1128,1044,1076,1762,1064,1008
"92a705c26f22754d7462e9f742436b6f","03355","33050508","202511180209","2568",2502,12782,659,1560,1939,875,2169,733,689,737,877,1343,1012,189
"92a705c26f22754d7462e9f742436b6f","03951","36020212","202511161658","2568",2460,10063,1603,1354,898,610,755,673,518,695,702,1395,440,433
"92a705c26f22754d7462e9f742436b6f","02096","22080204","202511160704","2568",2094,6109,301,486,544,795,1074,275,285,430,716,595,321,485
"92a705c26f22754d7462e9f742436b6f","06303","53060101","202511162251","2568",637,2667,171,398,315,215,169,169,112,160,291,275,172,220
"92a705c26f22754d7462e9f742436b6f","04040","36100308","202511161658","2568",3485,18101,940,1938,2111,1999,2029,822,909,1279,1448,2408,1084,1139
"92a705c26f22754d7462e9f742436b6f","05901","50090402","202511152253","2568",4280,20538,1150,1694,1366,2193,1373,1498,966,1562,2489,2479,2221,1547
"92a705c26f22754d7462e9f742436b6f","07580","65080208","202511170849","2568",3237,15185,824,1288,3051,1562,1060,1451,839,1228,901,1074,1066,841
"92a705c26f22754d7462e9f742436b6f","07918","70041207","202511161245","2568",1332,5530,366,685,640,468,408,344,311,737,646,356,299,270
"92a705c26f22754d7462e9f742436b6f","05644","48040201","202511171443","2568",2169,7093,620,1380,952,921,542,254,335,358,324,817,274,316
"92a705c26f22754d7462e9f742436b6f","03645","34100204","202511170750","2568",5307,23246,1491,1720,1677,5235,1118,1418,1263,3100,2139,1159,1806,1120
"92a705c26f22754d7462e9f742436b6f","03956","36020503","202511161658","2568",2274,9978,481,555,1084,1176,765,813,541,1034,993,832,871,834
"92a705c26f22754d7462e9f742436b6f","03239","32110301","202511161701","2568",2121,7132,452,323,443,672,1443,529,345,384,1341,428,392,380
"92a705c26f22754d7462e9f742436b6f","06605","56050303","202511162249","2568",2739,10212,304,966,2956,789,1189,619,520,547,872,372,694,388
"92a705c26f22754d7462e9f742436b6f","06304","53060102","202511162251","2568",1866,7392,526,801,777,645,459,731,699,415,657,863,407,412
"92a705c26f22754d7462e9f742436b6f","03354","33050503","202511180209","2568",2013,11151,1073,1250,1406,1287,1267,704,574,816,806,745,956,267
"92a705c26f22754d7462e9f742436b6f","09702","92030706","202511170032","2568",3886,12605,461,1426,1645,717,1286,2840,846,671,752,722,686,554
"92a705c26f22754d7462e9f742436b6f","03168","32060106","202511161701","2568",2698,10119,659,743,1225,1791,1592,771,566,778,1067,477,367,84
"92a705c26f22754d7462e9f742436b6f","04404","40150803","202511161807","2568",2288,7292,611,524,702,728,797,509,503,830,479,857,395,357
"92a705c26f22754d7462e9f742436b6f","13844","31101108","202511152255","2568",3447,15446,853,909,3236,3457,823,1357,536,653,616,1271,960,775
"92a705c26f22754d7462e9f742436b6f","05076","44120405","202511170954","2568",1570,6543,433,463,1374,1338,568,227,189,434,390,423,412,292
"92a705c26f22754d7462e9f742436b6f","01378","15030201","202511161007","2568",334,1245,122,149,120,95,74,103,83,94,105,113,83,104
"92a705c26f22754d7462e9f742436b6f","07573","65070405","202511170849","2568",3336,9166,274,2878,298,2059,878,250,223,618,228,420,768,272
"92a705c26f22754d7462e9f742436b6f","05346","46050803","202511170445","2568",4566,19292,2590,1490,2951,1540,1563,1731,988,1378,1825,1255,1088,893
"92a705c26f22754d7462e9f742436b6f","02417","26030605","202511160713","2568",2646,10873,1101,895,1602,1028,632,502,455,729,540,2193,697,499
"92a705c26f22754d7462e9f742436b6f","11368","84140102","202511170539","2568",31163,124982,10066,11484,10621,12447,10261,10025,8676,10016,9666,11085,9879,10756
"92a705c26f22754d7462e9f742436b6f","05175","45071003","202511170333","2568",942,2039,85,105,190,88,602,216,27,13,163,1,309,240
"92a705c26f22754d7462e9f742436b6f","05507","47080409","202511161920","2568",4215,14870,1565,784,730,1339,1517,2663,892,1210,1109,801,1124,1136
"92a705c26f22754d7462e9f742436b6f","02620","30080408","202511160227","2568",2607,7385,575,644,780,2029,1114,610,442,1191,0,0,0,0
"92a705c26f22754d7462e9f742436b6f","08944","80160506","202511152301","2568",1204,4428,341,862,625,343,413,231,212,328,392,231,214,236
"92a705c26f22754d7462e9f742436b6f","01580","17040203","202511160846","2568",2661,7323,317,311,455,1296,1354,1297,808,318,292,221,309,346
"92a705c26f22754d7462e9f742436b6f","02232","24040902","202511162107","2568",2488,5517,261,559,690,396,1172,369,205,475,591,281,365,155
"92a705c26f22754d7462e9f742436b6f","02231","24040806","202511162107","2568",4007,12490,1153,968,1355,1306,1860,1338,680,794,849,701,799,691
"92a705c26f22754d7462e9f742436b6f","06493","55050604","202511160614","2568",3333,13476,896,759,2989,1246,984,1051,850,812,926,1112,780,1090
"92a705c26f22754d7462e9f742436b6f","08157","72010603","202511160509","2568",1035,3646,365,196,318,196,402,255,203,374,481,206,402,248
"92a705c26f22754d7462e9f742436b6f","10864","26030704","202511160713","2568",39056,163311,13522,13216,13517,14964,12826,12898,11904,13776,14178,14104,13339,15069
"92a705c26f22754d7462e9f742436b6f","02675","30120710","202511160227","2568",1368,6472,604,361,473,651,687,545,402,346,675,569,613,546
"92a705c26f22754d7462e9f742436b6f","08752","80010606","202511152301","2568",2720,7750,974,1251,1256,772,481,403,355,605,443,402,369,439
"92a705c26f22754d7462e9f742436b6f","05923","50110302","202511152253","2568",2238,8402,590,1281,1357,562,395,1143,616,269,732,627,502,328
"92a705c26f22754d7462e9f742436b6f","07328","63050101","202511171731","2568",5366,20385,3082,1787,1554,1689,1107,1630,2036,1520,1639,1951,1150,1240
