id,hospcode,areacode,date_com,b_year,result
"2d85d6ec39840f8051854b028fa13073","11166","54020406","202311061252","2566",142
"2d85d6ec39840f8051854b028fa13073","10722","63010100","202311160932","2566",2547
"2d85d6ec39840f8051854b028fa13073","13846","31190108","202311162001","2566",17
"2d85d6ec39840f8051854b028fa13073","10974","36061001","202311170416","2566",852
"2d85d6ec39840f8051854b028fa13073","04090","36150210","202311170416","2566",13
"2d85d6ec39840f8051854b028fa13073","04091","36150305","202311170416","2566",9
"2d85d6ec39840f8051854b028fa13073","04820","38011011","202311160711","2566",140
"2d85d6ec39840f8051854b028fa13073","04821","38011101","202311160711","2566",104
"2d85d6ec39840f8051854b028fa13073","04822","38011204","202311160711","2566",292
"2d85d6ec39840f8051854b028fa13073","10705","42010101","202311171034","2566",1931
"2d85d6ec39840f8051854b028fa13073","04092","36150307","202311170416","2566",37
"2d85d6ec39840f8051854b028fa13073","04505","41020105","202310181814","2566",148
"2d85d6ec39840f8051854b028fa13073","04506","41020203","202310181814","2566",35
"2d85d6ec39840f8051854b028fa13073","04497","41011505","202310181814","2566",24
"2d85d6ec39840f8051854b028fa13073","04511","41020701","202310181814","2566",21
"2d85d6ec39840f8051854b028fa13073","04509","41020401","202310181814","2566",14
"2d85d6ec39840f8051854b028fa13073","04524","41040304","202310181814","2566",183
"2d85d6ec39840f8051854b028fa13073","04525","41040306","202310181814","2566",112
"2d85d6ec39840f8051854b028fa13073","04533","41040913","202310181814","2566",64
"2d85d6ec39840f8051854b028fa13073","04529","41040704","202310181814","2566",129
"2d85d6ec39840f8051854b028fa13073","04539","41041101","202310181814","2566",156
"2d85d6ec39840f8051854b028fa13073","04538","41041404","202310181814","2566",148
"2d85d6ec39840f8051854b028fa13073","04537","41041403","202310181814","2566",144
"2d85d6ec39840f8051854b028fa13073","11026","41200104","202310181814","2566",667
"2d85d6ec39840f8051854b028fa13073","11025","41190101","202310181814","2566",10041
"2d85d6ec39840f8051854b028fa13073","11024","41181001","202310181814","2566",859
"2d85d6ec39840f8051854b028fa13073","11016","41040704","202310181814","2566",1900
"2d85d6ec39840f8051854b028fa13073","11017","41050102","202310181814","2566",1577
"2d85d6ec39840f8051854b028fa13073","11018","41060106","202310181814","2566",3421
"2d85d6ec39840f8051854b028fa13073","04780","42130301","202311171034","2566",2
"2d85d6ec39840f8051854b028fa13073","04781","42130401","202311171034","2566",1
"2d85d6ec39840f8051854b028fa13073","10234","42060505","202311171034","2566",16
"2d85d6ec39840f8051854b028fa13073","03089","32010201","202311161643","2566",16
"2d85d6ec39840f8051854b028fa13073","11076","45170403","202311150609","2566",474
"2d85d6ec39840f8051854b028fa13073","11075","45160203","202311150609","2566",368
"2d85d6ec39840f8051854b028fa13073","11074","45150106","202311150609","2566",1177
"2d85d6ec39840f8051854b028fa13073","11073","45140107","202311150609","2566",394
"2d85d6ec39840f8051854b028fa13073","04777","42130106","202311171034","2566",2
"2d85d6ec39840f8051854b028fa13073","11094","47070205","202311161837","2566",123
"2d85d6ec39840f8051854b028fa13073","11095","47081209","202311161837","2566",1350
"2d85d6ec39840f8051854b028fa13073","11536","10030102","202311160936","2566",283
"2d85d6ec39840f8051854b028fa13073","04778","42130201","202311171034","2566",1
"2d85d6ec39840f8051854b028fa13073","11096","47090111","202311161837","2566",293
